,image_name,model_idx,bpp,eval_psnr,ws_ssim,codec
0,othim02,0,0.1484,27.11,0.84,lic360_777965
1,othim05,0,0.1957,24.95,0.7812,lic360_777965
2,othim15,0,0.1202,28.04,0.8787,lic360_777965
3,othim04,0,0.209,23.5,0.7546,lic360_777965
4,othim12,0,0.1433,27.08,0.799,lic360_777965
5,othim19,0,0.1918,25.11,0.8001,lic360_777965
6,othim10,0,0.1297,27.97,0.8184,lic360_777965
7,othim18,0,0.103,28.58,0.891,lic360_777965
8,othim21,0,0.1916,24.85,0.7957,lic360_777965
9,othim16,0,0.1036,28.43,0.8902,lic360_777965
10,othim03,0,0.1481,27.09,0.8362,lic360_777965
11,othim20,0,0.191,25.0,0.7968,lic360_777965
12,othim17,0,0.103,28.46,0.8908,lic360_777965
13,othim29,0,0.1528,25.49,0.8139,lic360_777965
14,othim06,0,0.1937,24.85,0.786,lic360_777965
15,othim23,0,0.1208,26.73,0.853,lic360_777965
16,othim07,0,0.124,28.42,0.8921,lic360_777965
17,othim09,0,0.1235,28.33,0.888,lic360_777965
18,othim11,0,0.1386,27.49,0.8076,lic360_777965
19,othim14,0,0.1196,28.19,0.8791,lic360_777965
20,othim27,0,0.1817,24.6,0.7949,lic360_777965
21,othim30,0,0.1572,25.08,0.8072,lic360_777965
22,othim08,0,0.1205,29.05,0.8958,lic360_777965
23,othim24,0,0.1344,25.72,0.8283,lic360_777965
24,othim22,0,0.123,27.12,0.8759,lic360_777965
25,othim26,0,0.1853,23.41,0.7935,lic360_777965
26,othim25,0,0.1852,23.48,0.794,lic360_777965
27,othim28,0,0.1579,25.33,0.806,lic360_777965
28,othim13,0,0.1196,28.28,0.8797,lic360_777965
29,othim01,0,0.1489,27.22,0.8433,lic360_777965
30,othim02,1,0.2002,28.39,0.8644,lic360_777965
31,othim05,1,0.2708,26.34,0.8263,lic360_777965
32,othim15,1,0.1604,29.17,0.8908,lic360_777965
33,othim04,1,0.2965,25.03,0.8094,lic360_777965
34,othim12,1,0.2041,28.37,0.8393,lic360_777965
35,othim19,1,0.265,26.37,0.8418,lic360_777965
36,othim10,1,0.1821,29.18,0.8486,lic360_777965
37,othim18,1,0.138,29.6,0.9045,lic360_777965
38,othim21,1,0.2662,26.15,0.8384,lic360_777965
39,othim16,1,0.1394,29.49,0.9044,lic360_777965
40,othim03,1,0.2003,28.38,0.8624,lic360_777965
41,othim20,1,0.265,26.28,0.8394,lic360_777965
42,othim17,1,0.1387,29.58,0.9043,lic360_777965
43,othim29,1,0.2191,26.79,0.8496,lic360_777965
44,othim06,1,0.2636,26.22,0.8292,lic360_777965
45,othim23,1,0.1687,28.08,0.8801,lic360_777965
46,othim07,1,0.1574,29.58,0.9052,lic360_777965
47,othim09,1,0.1569,29.55,0.9005,lic360_777965
48,othim11,1,0.1952,28.75,0.8444,lic360_777965
49,othim14,1,0.1587,29.18,0.8908,lic360_777965
50,othim27,1,0.2467,26.0,0.8313,lic360_777965
51,othim30,1,0.2267,26.35,0.8457,lic360_777965
52,othim08,1,0.1519,30.09,0.9073,lic360_777965
53,othim24,1,0.1924,27.09,0.8629,lic360_777965
54,othim22,1,0.1619,28.31,0.8893,lic360_777965
55,othim26,1,0.2534,24.83,0.8334,lic360_777965
56,othim25,1,0.2529,24.9,0.8332,lic360_777965
57,othim28,1,0.2275,26.55,0.8456,lic360_777965
58,othim13,1,0.1588,29.2,0.891,lic360_777965
59,othim01,1,0.1987,28.4,0.8667,lic360_777965
60,othim02,2,0.2385,29.23,0.8813,lic360_777965
61,othim05,2,0.3167,26.9,0.8477,lic360_777965
62,othim15,2,0.1917,29.85,0.9061,lic360_777965
63,othim04,2,0.3467,25.56,0.8329,lic360_777965
64,othim12,2,0.2455,28.96,0.8592,lic360_777965
65,othim19,2,0.3104,27.07,0.8629,lic360_777965
66,othim10,2,0.2208,29.79,0.8675,lic360_777965
67,othim18,2,0.1662,30.46,0.9174,lic360_777965
68,othim21,2,0.3123,26.91,0.8608,lic360_777965
69,othim16,2,0.1681,30.4,0.9178,lic360_777965
70,othim03,2,0.2388,29.23,0.8795,lic360_777965
71,othim20,2,0.3106,26.97,0.8603,lic360_777965
72,othim17,2,0.1672,30.4,0.9173,lic360_777965
73,othim29,2,0.2566,27.32,0.8669,lic360_777965
74,othim06,2,0.3098,26.82,0.8506,lic360_777965
75,othim23,2,0.1998,28.85,0.8945,lic360_777965
76,othim07,2,0.1859,30.28,0.9172,lic360_777965
77,othim09,2,0.1866,30.36,0.9132,lic360_777965
78,othim11,2,0.2347,29.37,0.8638,lic360_777965
79,othim14,2,0.1904,29.83,0.9062,lic360_777965
80,othim27,2,0.293,26.63,0.8512,lic360_777965
81,othim30,2,0.2651,26.88,0.8631,lic360_777965
82,othim08,2,0.1796,30.87,0.9187,lic360_777965
83,othim24,2,0.2286,27.72,0.8775,lic360_777965
84,othim22,2,0.1899,29.02,0.9018,lic360_777965
85,othim26,2,0.2994,25.4,0.8515,lic360_777965
86,othim25,2,0.2989,25.47,0.8519,lic360_777965
87,othim28,2,0.2673,27.09,0.8632,lic360_777965
88,othim13,2,0.1904,29.89,0.9064,lic360_777965
89,othim01,2,0.2364,29.21,0.8828,lic360_777965
90,othim02,3,0.2754,29.83,0.8927,lic360_777965
91,othim05,3,0.3775,27.73,0.8712,lic360_777965
92,othim15,3,0.2262,30.52,0.9157,lic360_777965
93,othim04,3,0.4111,26.4,0.8576,lic360_777965
94,othim12,3,0.2938,29.68,0.8767,lic360_777965
95,othim19,3,0.366,27.76,0.8811,lic360_777965
96,othim10,3,0.2621,30.54,0.8818,lic360_777965
97,othim18,3,0.1912,31.04,0.9255,lic360_777965
98,othim21,3,0.3688,27.62,0.8793,lic360_777965
99,othim16,3,0.1936,30.99,0.9257,lic360_777965
100,othim03,3,0.277,29.85,0.8921,lic360_777965
101,othim20,3,0.3672,27.69,0.8794,lic360_777965
102,othim17,3,0.1927,31.02,0.9257,lic360_777965
103,othim29,3,0.3112,28.2,0.8855,lic360_777965
104,othim06,3,0.3681,27.62,0.8727,lic360_777965
105,othim23,3,0.2317,29.38,0.9055,lic360_777965
106,othim07,3,0.2098,30.93,0.9248,lic360_777965
107,othim09,3,0.2099,30.91,0.9207,lic360_777965
