image_name,mask_type,wsmse_tag,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,0,0,1,0.007,28.363606107804838,0.12099944055080414,63438.5546875,28.350644038535375,0.7923572063446045,0.12171495705842972,63813.69140625,0.018083572387695312,9481.0,0.007890701293945312,4137.0,0.0093536376953125,4904.0,0.0,0,0.13979852944612503,73294.69140625,5000,1000
othim02,full,0,0,1,0.007,28.265316820887723,0.12166740745306015,63788.76171875,28.23918843719947,0.7877206802368164,0.12285591661930084,64411.8828125,0.018228530883789062,9557.0,0.007913589477539062,4149.0,0.009469985961914062,4965.0,0.0,0,0.1410844475030899,73968.8828125,5000,1000
othim03,full,0,0,1,0.007,28.003773574676046,0.12317807972431183,64580.7890625,27.971924486590478,0.7803952693939209,0.12388518452644348,64951.515625,0.0178070068359375,9336.0,0.00794219970703125,4164.0,0.008893966674804688,4663.0,0.0,0,0.14169219136238098,74287.515625,5000,1000
othim04,full,0,0,1,0.007,25.400919592920804,0.2606263756752014,136643.28125,25.39193085221756,0.7320448756217957,0.2611444294452667,136914.890625,0.019399642944335938,10171.0,0.0090484619140625,4744.0,0.00936126708984375,4908.0,0.0,0,0.28054407238960266,147085.890625,5000,1000
othim05,full,0,0,1,0.007,26.265676850174543,0.20222792029380798,106025.671875,26.24941705860375,0.7237088680267334,0.20248302817344666,106159.421875,0.01947021484375,10208.0,0.009130477905273438,4787.0,0.009490966796875,4976.0,0.0,0,0.22195324301719666,116367.421875,5000,1000
othim06,full,0,0,1,0.007,26.437387578562635,0.2076173573732376,108851.2890625,26.43013834146913,0.7415225505828857,0.20847773551940918,109302.375,0.0183868408203125,9640.0,0.007928848266601562,4157.0,0.00946807861328125,4964.0,0.0,0,0.22686457633972168,118942.375,5000,1000
othim07,full,0,0,1,0.007,29.431712143419034,0.10068366676568985,52787.23828125,29.377241361483254,0.8520148992538452,0.10163939744234085,53288.31640625,0.016855239868164062,8837.0,0.0077381134033203125,4057.0,0.008258819580078125,4330.0,0.0,0,0.11849463731050491,62125.31640625,5000,1000
othim08,full,0,0,1,0.007,29.72097386303196,0.09071034938097,47558.34765625,29.712212317994155,0.8523436784744263,0.09115142375230789,47789.59765625,0.019212722778320312,10073.0,0.0079193115234375,4152.0,0.010457992553710938,5483.0,0.0,0,0.1103641465306282,57862.59765625,5000,1000
othim09,full,0,0,1,0.007,29.574631740139164,0.10036743432283401,52621.44140625,29.547952060197137,0.852662980556488,0.1013396680355072,53131.171875,0.018045425415039062,9461.0,0.007833480834960938,4107.0,0.009344100952148438,4899.0,0.0,0,0.11938509345054626,62592.171875,5000,1000
othim10,full,0,0,1,0.007,28.585050447794277,0.09176325798034668,48110.375,28.560608363898137,0.74400395154953,0.09303233027458191,48775.734375,0.017801284790039062,9333.0,0.007886886596679688,4135.0,0.009044647216796875,4742.0,0.0,0,0.11083361506462097,58108.734375,5000,1000
