image_name,mask_type,wsmse_tag,loss_type,lambda_dist,lambda_percep,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,41.93894035306375,4.05171537399292,2124265.75,41.865224681409984,0.9919834136962891,4.053746223449707,2125330.5,0.023759841918945312,12457.0,0.009317398071289062,4885.0,0.013521194458007812,7089.0,0.0,0,4.077506065368652,2137787.5,5000,1000
othim02,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,41.93736858212035,4.096495151519775,2147743.25,41.87538067881054,0.9919883608818054,4.09832239151001,2148701.25,0.022336959838867188,11711.0,0.009176254272460938,4811.0,0.012235641479492188,6415.0,0.0,0,4.120659351348877,2160412.25,5000,1000
othim03,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,41.871851641850974,4.038559436798096,2117368.25,41.802628736338214,0.9918705821037292,4.04002571105957,2118137.0,0.024477005004882812,12833.0,0.00948333740234375,4972.0,0.013936996459960938,7307.0,0.0,0,4.064502716064453,2130970.0,5000,1000
othim04,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,41.65430134371805,4.2877349853515625,2248008.0,41.63464672897096,0.9967793822288513,4.288896083831787,2248616.75,0.024997711181640625,13106.0,0.009288787841796875,4870.0,0.014783859252929688,7751.0,0.0,0,4.313893795013428,2261722.75,5000,1000
othim05,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,42.12728497801592,4.181634902954102,2192381.0,42.09694950674752,0.9970701932907104,4.184711456298828,2193994.0,0.02365875244140625,12404.0,0.00946807861328125,4964.0,0.013093948364257812,6865.0,0.0,0,4.208370208740234,2206398.0,5000,1000
othim06,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,41.74152771033609,4.102080821990967,2150671.75,41.17454895229773,0.9963969588279724,4.105088233947754,2152248.5,0.023317337036132812,12225.0,0.009351730346679688,4903.0,0.013458251953125,7056.0,0.0,0,4.128405570983887,2164473.5,5000,1000
othim07,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,43.217327343461626,3.621591806411743,1898757.125,43.14836065828575,0.9933503866195679,3.6229214668273926,1899454.25,0.023891448974609375,12526.0,0.0094451904296875,4952.0,0.013401031494140625,7026.0,0.0,0,3.646812915802002,1911980.25,5000,1000
othim08,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,42.57032413408391,3.6305317878723145,1903444.25,42.54624609723988,0.9933494925498962,3.631760597229004,1904088.5,0.025259017944335938,13243.0,0.009527206420898438,4995.0,0.014556884765625,7632.0,0.0,0,3.65701961517334,1917331.5,5000,1000
othim09,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,42.6815338731177,3.6866250038146973,1932853.25,42.61043462686574,0.9934185743331909,3.6876049041748047,1933367.0,0.022968292236328125,12042.0,0.009654998779296875,5062.0,0.012258529663085938,6427.0,0.0,0,3.710573196411133,1945409.0,5000,1000
othim10,erp,0,combined,0.0023437500000000003,1.0,1,1,0.0006,44.26871792891064,3.7933566570281982,1988811.375,44.24535971947813,0.9950664043426514,3.7946159839630127,1989471.625,0.02384185791015625,12500.0,0.009349822998046875,4902.0,0.013425827026367188,7039.0,0.0,0,3.818457841873169,2001971.625,5000,1000
