image_name,mask_type,wsmse_tag,loss_type,lambda_dist,lambda_percep,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,erp,0,combined,0.0023437500000000003,1.0,1,1,0.02,36.801845901469186,1.3018598556518555,682549.5,36.44123520108706,0.9776240587234497,1.3030261993408203,683161.0,0.020879745483398438,10947.0,0.008775711059570312,4601.0,0.011293411254882812,5921.0,0.0,0,1.3239059448242188,694108.0,5000,1000
othim02,erp,0,combined,0.0023437500000000003,1.0,1,1,0.02,36.41079648931015,1.3180155754089355,691019.75,35.95312180373112,0.9771245718002319,1.3194372653961182,691765.125,0.020771026611328125,10890.0,0.008832931518554688,4631.0,0.011350631713867188,5951.0,0.0,0,1.3402082920074463,702655.125,5000,1000
othim01,erp,0,combined,0.0023437500000000003,1.0,1,1,0.05,33.99125530913855,0.7808623313903809,409396.75,33.864638404863705,0.963017463684082,0.7818247079849243,409901.3125,0.020025253295898438,10499.0,0.008928298950195312,4681.0,0.0103912353515625,5448.0,0.0,0,0.8018499612808228,420400.3125,5000,1000
othim02,erp,0,combined,0.0023437500000000003,1.0,1,1,0.05,34.35126832669675,0.7968448996543884,417776.21875,34.03138232369622,0.9622837901115417,0.7978886365890503,418323.4375,0.019596099853515625,10274.0,0.008907318115234375,4670.0,0.0099945068359375,5240.0,0.0,0,0.8174847364425659,428597.4375,5000,1000
othim01,erp,0,combined,0.0023437500000000003,1.0,1,1,0.1,32.19311658472568,0.5190026164054871,272106.84375,31.486432912522698,0.9426290392875671,0.5197335481643677,272490.0625,0.0185546875,9728.0,0.008901596069335938,4667.0,0.009090423583984375,4766.0,0.0,0,0.5382882356643677,282218.0625,5000,1000
othim02,erp,0,combined,0.0023437500000000003,1.0,1,1,0.1,32.12242893052771,0.5261009931564331,275828.4375,31.737189956975623,0.9446410536766052,0.5269712209701538,276284.6875,0.019763946533203125,10362.0,0.008886337280273438,4659.0,0.010318756103515625,5410.0,0.0,0,0.5467351675033569,286646.6875,5000,1000
othim01,erp,0,combined,0.0023437500000000003,1.0,1,1,0.2,30.24239696494304,0.3426223397254944,179632.78125,28.30947242986191,0.9046766757965088,0.3432420492172241,179957.6875,0.017324447631835938,9083.0,0.008958816528320312,4697.0,0.0079193115234375,4152.0,0.0,0,0.36056649684906006,189040.6875,5000,1000
othim02,erp,0,combined,0.0023437500000000003,1.0,1,1,0.2,29.982169714575846,0.34006190299987793,178290.375,29.59864818946009,0.9181779623031616,0.3409290313720703,178745.0,0.018772125244140625,9842.0,0.008060455322265625,4226.0,0.010164260864257812,5329.0,0.0,0,0.35970115661621094,188587.0,5000,1000
othim01,erp,0,combined,0.0023437500000000003,1.0,1,1,0.4,27.929336702383683,0.19743609428405762,103513.375,26.588606010393693,0.8753938674926758,0.19778980314731598,103698.8203125,0.0164794921875,8640.0,0.008121490478515625,4258.0,0.0076446533203125,4008.0,0.0,0,0.21426929533481598,112338.8203125,5000,1000
othim02,erp,0,combined,0.0023437500000000003,1.0,1,1,0.4,27.965051337941016,0.20106148719787598,105414.125,27.00465200276693,0.8727084994316101,0.2019307017326355,105869.84375,0.016706466674804688,8759.0,0.00824737548828125,4324.0,0.007862091064453125,4122.0,0.0,0,0.21863716840744019,114628.84375,5000,1000
othim01,erp,0,combined,0.0023437500000000003,1.0,1,1,0.8,26.39495134963938,0.10949448496103287,57406.64453125,24.83337274048287,0.8160620927810669,0.11063477396965027,58004.484375,0.016096115112304688,8439.0,0.007932662963867188,4159.0,0.0075550079345703125,3961.0,0.0,0,0.12673088908195496,66443.484375,5000,1000
othim02,erp,0,combined,0.0023437500000000003,1.0,1,1,0.8,26.290244093411673,0.1117703765630722,58599.8671875,24.083770577975468,0.8123828768730164,0.1118922010064125,58663.73828125,0.016393661499023438,8595.0,0.009054183959960938,4747.0,0.006870269775390625,3602.0,0.0,0,0.12828586250543594,67258.73828125,5000,1000
othim01,erp,1,wsmse,0,0,1,1,0.007,28.767235494964506,0.13340097665786743,69940.53125,28.738425071636655,0.8056908845901489,0.1335199773311615,70002.921875,0.021121978759765625,11074.0,0.008998870849609375,4718.0,0.011285781860351562,5917.0,0.0,0,0.15464195609092712,81076.921875,5000,1000
othim01,erp,1,wsmse,0,0,1,1,0.015,27.288001164756555,0.0780806839466095,40936.765625,27.22889658478535,0.7498553991317749,0.0789860263466835,41411.42578125,0.018957138061523438,9939.0,0.007915496826171875,4150.0,0.0102081298828125,5352.0,0.0,0,0.09794316440820694,51350.42578125,5000,1000
othim01,erp,1,wsmse,0,0,1,1,0.0015,33.39689714157611,0.4345719814300537,227840.875,33.37413769472514,0.9039673805236816,0.4364073872566223,228803.15625,0.01982879638671875,10396.0,0.007837295532226562,4109.0,0.01119232177734375,5868.0,0.0,0,0.45623618364334106,239199.15625,5000,1000
othim01,erp,1,wsmse,0,0,1,1,0.0025,31.938309435186074,0.30702000856399536,160966.90625,31.91317014384087,0.8795832395553589,0.30777788162231445,161364.25,0.02214813232421875,11612.0,0.008892059326171875,4662.0,0.012426376342773438,6515.0,0.0,0,0.3299260139465332,172976.25,5000,1000
othim01,erp,1,wsmse,0,0,1,1,0.0006,36.146601285039935,0.6729565262794495,352823.03125,36.14305969918116,0.9384921789169312,0.673577606678009,353148.65625,0.02362060546875,12384.0,0.009042739868164062,4741.0,0.013545989990234375,7102.0,0.0,0,0.697198212146759,365532.65625,5000,1000
othim01,erp,1,wsmse,0,0,1,1,0.0008,35.33267060019971,0.5815679430961609,304909.09375,35.325576727363135,0.93076491355896,0.5822175145149231,305249.65625,0.02332305908203125,12228.0,0.00894927978515625,4692.0,0.01345062255859375,7052.0,0.0,0,0.6055405735969543,317477.65625,5000,1000
othim01,erp,1,wsmse,0,0,1,1,0.0035,30.719719287298272,0.24480906128883362,128350.453125,30.701980411778212,0.8556258082389832,0.24531005322933197,128613.1171875,0.021955490112304688,11511.0,0.008928298950195312,4681.0,0.012310028076171875,6454.0,0.0,0,0.26726554334163666,140124.1171875,5000,1000
othim01,erp,1,wsmse,0,0,1,1,0.005,29.528570818264516,0.17431728541851044,91392.4609375,29.49471993141456,0.8279328346252441,0.17523714900016785,91874.734375,0.020959854125976562,10989.0,0.009088516235351562,4765.0,0.011034011840820312,5785.0,0.0,0,0.1961970031261444,102863.734375,5000,1000
