image_name,mask_type,wsmse_tag,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,0,0,1,0.0006,35.462120664185825,0.6066589951515198,318064.03125,35.44273861021336,0.9332923889160156,0.6075673699378967,318540.28125,0.020200729370117188,10591.0,0.008955001831054688,4695.0,0.010074615478515625,5282.0,0.0,0,0.6277680993080139,329131.28125,5000,1000
othim02,full,0,0,1,0.0006,35.397455442584516,0.6345255374908447,332674.125,35.388894768063146,0.9319037199020386,0.6349021196365356,332871.5625,0.022249221801757812,11665.0,0.009798049926757812,5137.0,0.011388778686523438,5971.0,0.0,0,0.6571513414382935,344536.5625,5000,1000
othim03,full,0,0,1,0.0006,35.18281892218453,0.6500532031059265,340815.09375,35.17217356796792,0.9296183586120605,0.6504310369491577,341013.1875,0.021137237548828125,11082.0,0.009855270385742188,5167.0,0.010110855102539062,5301.0,0.0,0,0.6715682744979858,352095.1875,5000,1000
othim04,full,0,0,1,0.0006,34.2565778470724,1.297050952911377,680028.25,34.25244982527245,0.9537187814712524,1.2973709106445312,680196.0,0.02191925048828125,11492.0,0.009639739990234375,5054.0,0.011339187622070312,5945.0,0.0,0,1.3192901611328125,691688.0,5000,1000
othim05,full,0,0,1,0.0006,34.74502965778604,1.1080081462860107,580915.375,34.734510602912735,0.9453881978988647,1.1087641716003418,581311.75,0.019908905029296875,10438.0,0.008699417114257812,4561.0,0.010030746459960938,5259.0,0.0,0,1.1286730766296387,591749.75,5000,1000
othim06,full,0,0,1,0.0006,34.758772532895684,1.022301197052002,535980.25,34.756498853079144,0.9450540542602539,1.0233501195907593,536530.1875,0.02129364013671875,11164.0,0.008777618408203125,4602.0,0.011461257934570312,6009.0,0.0,0,1.044643759727478,547694.1875,5000,1000
othim07,full,0,0,1,0.0006,36.31514372529961,0.46034425497055054,241352.96875,36.308428922827055,0.9434208273887634,0.4607144594192505,241547.0625,0.021547317504882812,11297.0,0.009763717651367188,5119.0,0.010845184326171875,5686.0,0.0,0,0.4822617769241333,252844.0625,5000,1000
othim08,full,0,0,1,0.0006,36.5954438739665,0.4318193793296814,226397.71875,36.58122040973471,0.9448865652084351,0.4331369400024414,227088.5,0.0199127197265625,10440.0,0.008798599243164062,4613.0,0.010150909423828125,5322.0,0.0,0,0.4530496597290039,237528.5,5000,1000
othim09,full,0,0,1,0.0006,36.375429362154584,0.4575313329696655,239878.1875,36.35995118354271,0.9434782862663269,0.4579407572746277,240092.84375,0.021244049072265625,11138.0,0.010021209716796875,5254.0,0.010290145874023438,5395.0,0.0,0,0.4791848063468933,251230.84375,5000,1000
othim10,full,0,0,1,0.0006,35.12825148250204,0.5664832592010498,297000.375,35.119941505534236,0.9184315204620361,0.5667823553085327,297157.1875,0.0208740234375,10944.0,0.009714126586914062,5093.0,0.010229110717773438,5363.0,0.0,0,0.5876563787460327,308101.1875,5000,1000
othim11,full,0,0,1,0.0006,35.20487751479086,0.6651328802108765,348721.1875,35.1981926570302,0.9262579679489136,0.6661298871040344,349243.90625,0.020914077758789062,10965.0,0.008733749389648438,4579.0,0.011251449584960938,5899.0,0.0,0,0.6870439648628235,360208.90625,5000,1000
othim12,full,0,0,1,0.0006,34.964023969991025,0.7035213112831116,368847.78125,34.95847357467295,0.9286174178123474,0.7040759325027466,369138.5625,0.021541595458984375,11294.0,0.008914947509765625,4674.0,0.011936187744140625,6258.0,0.0,0,0.725617527961731,380432.5625,5000,1000
othim13,full,0,0,1,0.0006,36.3820756958221,0.4832519292831421,253363.1875,36.3741389150712,0.9373266696929932,0.48424285650253296,253882.71875,0.020263671875,10624.0,0.0089111328125,4672.0,0.0103302001953125,5416.0,0.0,0,0.504506528377533,264506.71875,5000,1000
othim14,full,0,0,1,0.0006,36.52838667566076,0.475169837474823,249125.84375,36.51221989832962,0.9379791617393494,0.475369930267334,249230.75,0.02106475830078125,11044.0,0.009843826293945312,5161.0,0.010419845581054688,5463.0,0.0,0,0.49643468856811523,260274.75,5000,1000
