image_name,mask_type,wsmse_tag,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,full,0,0,1,0.0035,29.947825737689623,0.200013667345047,104864.765625,29.94260878256004,0.840362012386322,0.2008756399154663,105316.6875,0.019367218017578125,10154.0,0.0078105926513671875,4095.0,0.010461807250976562,5485.0,0.0,0,0.22024285793304443,115470.6875,5000,1000
othim02,full,0,0,1,0.0035,29.841941204920754,0.20044684410095215,105091.875,29.830674274996834,0.8368597030639648,0.20124894380569458,105512.40625,0.019350051879882812,10145.0,0.0079193115234375,4152.0,0.010465621948242188,5487.0,0.0,0,0.2205989956855774,115657.40625,5000,1000
othim03,full,0,0,1,0.0035,29.798950845458084,0.21729348599910736,113924.3671875,29.791341950536303,0.8337334394454956,0.21777227520942688,114175.390625,0.020198822021484375,10590.0,0.009063720703125,4752.0,0.010297775268554688,5399.0,0.0,0,0.23797109723091125,124765.390625,5000,1000
othim04,full,0,0,1,0.0035,27.770268715983644,0.4624951183795929,242480.640625,27.766584605611218,0.8205728530883789,0.46285825967788696,242671.03125,0.02037811279296875,10684.0,0.008922576904296875,4678.0,0.010507583618164062,5509.0,0.0,0,0.4832363724708557,253355.03125,5000,1000
othim05,full,0,0,1,0.0035,28.56479267831799,0.36547577381134033,191614.5625,28.552669908398798,0.8131089210510254,0.3659355938434601,191855.640625,0.019327163696289062,10133.0,0.0089569091796875,4696.0,0.0094146728515625,4936.0,0.0,0,0.38526275753974915,201988.640625,5000,1000
othim06,full,0,0,1,0.0035,28.652633941945357,0.3720126450061798,195041.765625,28.637589528938136,0.8189005255699158,0.372316837310791,195201.25,0.019197463989257812,10065.0,0.008975982666015625,4706.0,0.009271621704101562,4861.0,0.0,0,0.39151430130004883,205266.25,5000,1000
othim07,full,0,0,1,0.0035,31.632899278458268,0.16574695706367493,86899.140625,31.621058813332393,0.891552209854126,0.1660047173500061,87034.28125,0.02068328857421875,10844.0,0.009138107299804688,4791.0,0.010593414306640625,5554.0,0.0,0,0.18668800592422485,97878.28125,5000,1000
othim08,full,0,0,1,0.0035,31.409516602158693,0.13946673274040222,73120.734375,31.396219805428277,0.8853243589401245,0.14036665856838226,73592.5546875,0.019201278686523438,10067.0,0.007862091064453125,4122.0,0.010381698608398438,5443.0,0.0,0,0.1595679372549057,83659.5546875,5000,1000
othim09,full,0,0,1,0.0035,30.658489145218038,0.14421844482421875,75612.0,30.65002409431288,0.8769575953483582,0.14570912718772888,76393.546875,0.0190887451171875,10008.0,0.0077228546142578125,4049.0,0.010526657104492188,5519.0,0.0,0,0.16479787230491638,86401.546875,5000,1000
othim10,full,0,0,1,0.0035,30.115075649686503,0.14625898003578186,76681.828125,30.108808300039456,0.8001460433006287,0.14731000363826752,77232.8671875,0.019191741943359375,10062.0,0.00775909423828125,4068.0,0.010463714599609375,5486.0,0.0,0,0.1665017455816269,87294.8671875,5000,1000
othim11,full,0,0,1,0.0035,29.55480135229668,0.1694260537624359,88828.046875,29.545148690742582,0.7938469648361206,0.17033648490905762,89305.375,0.01998138427734375,10476.0,0.009054183959960938,4747.0,0.010206222534179688,5351.0,0.0,0,0.19031786918640137,99781.375,5000,1000
othim12,full,0,0,1,0.0035,29.433173048649362,0.2024064064025879,106119.25,29.42572750387893,0.7957093119621277,0.20290176570415497,106378.9609375,0.020132064819335938,10555.0,0.008863449096679688,4647.0,0.010293960571289062,5397.0,0.0,0,0.2230338305234909,116933.9609375,5000,1000
