image_name,mask_type,wsmse_tag,loss_type,lambda_dist,lambda_percep,swhdc_tag,erp_padding,lambda_rate,train_psnr,train_rate_bpp,train_rate_bits,eval_psnr,eval_wsssim,eval_y_rate_bpp,eval_y_rate_bits,eval_mlp_rate_bpp,eval_mlp_rate_bits,eval_arm_rate_bpp,eval_arm_rate_bits,eval_conv_rate_bpp,eval_conv_rate_bits,eval_border_rate_bpp,eval_border_rate_bits,eval_total_rate_bpp,eval_total_rate_bits,total_steps_1,total_steps_2
othim01,erp,0,combined,0,1,1,1,0.4,28.1149254489558,0.196257740259171,102895.578125,26.9849629073159,0.87591564655304,0.196477457880974,103010.7734375,0.0179443359375,9408,0.00917434692382813,4810,0.00806236267089844,4227,0,0,0.214421793818474,112418.7734375,5000,1000
othim02,erp,0,combined,0,1,1,1,0.4,27.7534463544958,0.200481206178665,105109.890625,26.9148557576701,0.875787913799286,0.201566100120544,105678.6875,0.0179576873779297,9415,0.00809478759765625,4244,0.00929641723632813,4874,0,0,0.219523787498474,115093.6875,5000,1000
othim03,erp,0,combined,0,1,1,1,0.4,28.1046048973601,0.201258569955826,105517.453125,26.7943460672698,0.871450424194336,0.202655822038651,106250.015625,0.0165500640869141,8677,0.00683975219726563,3586,0.00911712646484375,4780,0,0,0.219205886125565,114927.015625,5000,1000
othim04,erp,0,combined,0,1,1,1,0.4,24.8062224568605,0.326803505420685,171339.15625,24.5050441141228,0.829285621643066,0.328701734542847,172334.375,0.0148563385009766,7789,0.00682258605957031,3577,0.00744247436523438,3902,0,0,0.343558073043823,180123.375,5000,1000
othim05,erp,0,combined,0,1,1,1,0.4,26.0966871754646,0.306599140167236,160746.25,24.9052893112967,0.841665387153626,0.3073670566082,161148.859375,0.0163078308105469,8550,0.00802421569824219,4207,0.00769233703613281,4033,0,0,0.323674887418747,169698.859375,5000,1000
othim06,erp,0,combined,0,1,1,1,0.4,26.0869387216253,0.299633085727692,157094.03125,26.0179485073364,0.854922473430634,0.300847232341766,157730.59375,0.0177841186523438,9324,0.00811576843261719,4255,0.00896453857421875,4700,0,0,0.31863135099411,167054.59375,5000,1000
othim07,erp,0,combined,0,1,1,1,0.4,28.6027592624921,0.143975496292114,75484.625,27.6404810356318,0.898382663726807,0.144954472780228,75997.890625,0.0162258148193359,8507,0.00789833068847656,4141,0.00774765014648438,4062,0,0,0.161180287599564,84504.890625,5000,1000
othim08,erp,0,combined,0,1,1,1,0.4,28.6980352753131,0.135016277432442,70787.4140625,28.2497929590942,0.907573640346527,0.135438710451126,71008.890625,0.0186614990234375,9784,0.00918769836425781,4817,0.00899314880371094,4715,0,0,0.154100209474564,80792.890625,5000,1000
othim09,erp,0,combined,0,1,1,1,0.4,28.7246954673325,0.142334669828415,74624.359375,26.2036734473214,0.894385695457459,0.142493695020676,74707.734375,0.0170974731445313,8964,0.00906181335449219,4751,0.00744438171386719,3903,0,0,0.159591168165207,83671.734375,5000,1000
othim10,erp,0,combined,0,1,1,1,0.4,28.8693630308224,0.19726350903511,103422.890625,27.1299371459732,0.854240894317627,0.197400510311127,103494.71875,0.0172500610351563,9044,0.0090179443359375,4728,0.00777053833007813,4074,0,0,0.214650571346283,112538.71875,5000,1000
othim11,erp,0,combined,0,1,1,1,0.4,28.7811227109348,0.21638348698616,113447.265625,26.6001378443728,0.853407800197601,0.216537266969681,113527.890625,0.0172920227050781,9066,0.00928497314453125,4868,0.00755119323730469,3959,0,0,0.233829289674759,122593.890625,5000,1000
othim12,erp,0,combined,0,1,1,1,0.4,28.2826289023986,0.234572991728783,122983.8046875,26.9552603981283,0.854400098323822,0.234792351722717,123098.8125,0.0173530578613281,9098,0.00915718078613281,4801,0.00762939453125,4000,0,0,0.252145409584045,132196.8125,5000,1000
othim13,erp,0,combined,0,1,1,1,0.4,29.1841866494769,0.149230882525444,78239.9609375,28.5091557207632,0.893169403076172,0.149706184864044,78489.15625,0.0175647735595703,9209,0.00801658630371094,4203,0.00910377502441406,4773,0,0,0.167270958423615,87698.15625,5000,1000
othim14,erp,0,combined,0,1,1,1,0.4,28.9414378613426,0.148829564452171,78029.5546875,27.4451438967896,0.879262924194336,0.14961376786232,78440.703125,0.0162105560302734,8499,0.0080413818359375,4216,0.00785255432128906,4117,0,0,0.165824323892593,86939.703125,5000,1000
othim15,erp,0,combined,0,1,1,1,0.4,28.9257165056739,0.152511447668076,79959.921875,28.2999295876816,0.89281702041626,0.15384441614151,80658.78125,0.0173740386962891,9109,0.00795936584472656,4173,0.00894737243652344,4691,0,0,0.171218454837799,89767.78125,5000,1000
othim16,erp,0,combined,0,1,1,1,0.4,29.4143846401457,0.128848075866699,67553.5,28.9213894839668,0.910952568054199,0.129804402589798,68054.890625,0.0175457000732422,9199,0.00808143615722656,4237,0.00889396667480469,4663,0,0,0.14735010266304,77253.890625,5000,1000
othim17,erp,0,combined,0,1,1,1,0.4,29.7021547448105,0.126863211393356,66512.859375,28.1223662514029,0.90762585401535,0.129118576645851,67695.3203125,0.0152435302734375,7992,0.007049560546875,3696,0.00761795043945313,3994,0,0,0.144362106919289,75687.3203125,5000,1000
othim18,erp,0,combined,0,1,1,1,0.4,29.5947371342285,0.128053098917007,67136.703125,27.9852210850818,0.905985951423645,0.130105286836624,68212.640625,0.0153293609619141,8037,0.00681114196777344,3571,0.00807762145996094,4235,0,0,0.145434647798538,76249.640625,5000,1000
othim19,erp,0,combined,0,1,1,1,0.4,26.2153745379659,0.289155036211014,151600.515625,25.5607713075249,0.857721209526062,0.289470136165619,151765.71875,0.0173492431640625,9096,0.00898361206054688,4710,0.007781982421875,4080,0,0,0.306819379329681,160861.71875,5000,1000
othim20,erp,0,combined,0,1,1,1,0.4,26.2391351805866,0.29411044716835,154198.578125,25.3763693680483,0.846540093421936,0.294443726539612,154373.3125,0.0174083709716797,9127,0.00903511047363281,4737,0.00790596008300781,4145,0,0,0.311852097511292,163500.3125,5000,1000
othim21,erp,0,combined,0,1,1,1,0.4,26.1838140798903,0.298062592744827,156270.640625,25.2447167095079,0.850852131843567,0.298677623271942,156593.09375,0.016326904296875,8560,0.00805854797363281,4225,0.00770187377929688,4038,0,0,0.315004527568817,165153.09375,5000,1000
othim22,erp,0,combined,0,1,1,1,0.4,28.0781444655685,0.142153069376946,74529.1484375,27.3876535734478,0.898740708827972,0.143743291497231,75362.8828125,0.0168628692626953,8841,0.00695228576660156,3645,0.00920486450195313,4826,0,0,0.160606160759926,84203.8828125,5000,1000
othim23,erp,0,combined,0,1,1,1,0.4,27.950031698872,0.156773656606674,82194.546875,27.1965773045194,0.889238715171814,0.157515019178391,82583.234375,0.0176277160644531,9242,0.00795364379882813,4170,0.00898361206054688,4710,0,0,0.175142735242844,91825.234375,5000,1000
othim24,erp,0,combined,0,1,1,1,0.4,26.8121217386239,0.184810057282448,96893.6953125,26.0237514946643,0.871167421340942,0.185559257864952,97286.4921875,0.0177345275878906,9298,0.00800132751464844,4195,0.00890350341796875,4668,0,0,0.203293785452843,106584.4921875,5000,1000
othim25,erp,0,combined,0,1,1,1,0.4,24.5942995244437,0.25801494717598,135274.140625,23.9218786483162,0.834184408187866,0.258282005786896,135414.15625,0.0176620483398438,9260,0.00910568237304688,4774,0.00797843933105469,4183,0,0,0.27594405412674,144674.15625,5000,1000
